agecat_contact,part_id,freq,rel,type,total_time,distance,rural,location,cnt_age_est_min,cnt_age_est_max,country,year
10-14y olds,713,At least once a week,Other relative,Physical,2h - <4h,4.2,Yes,other,10,14,Uganda,2014
10-14y olds,720,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,720,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,720,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,723,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,802,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,802,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,817,Daily or almost daily,Friend,Nonphysical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,823,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,823,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,902,Daily or almost daily,Household member,Nonphysical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,902,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,904,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,906,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,906,At least once a week,Friend,Physical,2h - <4h,0.4,No,other,10,14,Uganda,2014
10-14y olds,912,At least once a week,Other,Nonphysical,15mins - <1h,0,No,other,10,14,Uganda,2014
10-14y olds,917,Daily or almost daily,Household member,Physical,2h - <4h,0,No,house,10,14,Uganda,2014
10-14y olds,923,Daily or almost daily,Friend,Physical,>4h,0,No,other,10,14,Uganda,2014
10-14y olds,927,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,1004,Daily or almost daily,Friend,Physical,<15mins,0,Yes,other,10,14,Uganda,2014
10-14y olds,1004,Daily or almost daily,Friend,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1004,Daily or almost daily,Friend,Physical,<15mins,0,Yes,other,10,14,Uganda,2014
10-14y olds,1004,Daily or almost daily,Friend,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1004,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1010,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1013,Daily or almost daily,Other relative,Physical,15mins - <1h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1013,Daily or almost daily,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1013,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1014,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1017,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1017,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1020,Daily or almost daily,Other relative,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1020,Daily or almost daily,Other relative,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1021,Daily or almost daily,Friend,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1021,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1021,Daily or almost daily,Other relative,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1021,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1024,At least once a month,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1029,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1029,Daily or almost daily,Other relative,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1029,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1102,Daily or almost daily,Other,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1110,Daily or almost daily,Other relative,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1114,Daily or almost daily,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1114,Daily or almost daily,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1120,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1121,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1124,Daily or almost daily,Other,Nonphysical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1124,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1124,Daily or almost daily,Other,Nonphysical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1124,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1124,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1204,Daily or almost daily,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1212,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1212,Daily or almost daily,Household member,Nonphysical,1h - <2h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1214,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1221,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1221,Daily or almost daily,Other,Nonphysical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1227,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1227,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1227,At least once a week,Other,Nonphysical,1h - <2h,1.2,Yes,other,10,14,Uganda,2014
10-14y olds,1313,Daily or almost daily,Friend,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1313,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1313,Daily or almost daily,Friend,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1314,Daily or almost daily,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1317,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1329,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1402,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1402,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1402,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1406,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1413,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1413,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1414,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1414,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1414,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1414,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1417,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1417,Daily or almost daily,Friend,Nonphysical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1430,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1510,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1510,Daily or almost daily,"",Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1517,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1517,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1606,Daily or almost daily,Household member,Nonphysical,1h - <2h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1606,Daily or almost daily,Household member,Nonphysical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1613,At least once a week,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1613,At least once a week,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1613,At least once a week,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1613,At least once a week,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1613,At least once a week,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1617,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1617,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1617,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1620,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1621,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1624,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1629,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1629,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1710,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1710,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1714,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1714,Daily or almost daily,Household member,Physical,1h - <2h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1717,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1717,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1721,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1723,Daily or almost daily,Colleague or schoolmate,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1723,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1723,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1723,Daily or almost daily,Colleague or schoolmate,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1723,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1723,Daily or almost daily,Colleague or schoolmate,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1727,At least once a week,Colleague or schoolmate,Physical,15mins - <1h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1802,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1804,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1804,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1810,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1812,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1812,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1821,Daily or almost daily,Household member,Nonphysical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1821,Daily or almost daily,Household member,Nonphysical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1821,Daily or almost daily,Household member,Nonphysical,1h - <2h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1821,Daily or almost daily,Household member,Nonphysical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1823,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1827,At least once a week,Friend,Nonphysical,<15mins,0,Yes,other,10,14,Uganda,2014
10-14y olds,1827,At least once a week,Other,Physical,<15mins,0,Yes,other,10,14,Uganda,2014
10-14y olds,1827,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1827,Daily or almost daily,Other relative,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1827,Daily or almost daily,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1902,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1902,Daily or almost daily,Other relative,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1904,Daily or almost daily,Colleague or schoolmate,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1904,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1904,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1904,At least once a week,Friend,Nonphysical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1904,Daily or almost daily,Colleague or schoolmate,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1904,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,1906,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1910,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1914,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,1921,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2002,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2002,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2004,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2004,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2006,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2006,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2010,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2010,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2012,Daily or almost daily,Friend,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2012,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2020,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2020,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2021,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2021,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2023,Daily or almost daily,Friend,Physical,>4h,0.8,Yes,other,10,14,Uganda,2014
10-14y olds,2102,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2104,At least once a week,Other,Nonphysical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2104,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2110,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2110,At least once a week,Other,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2112,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2112,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2120,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2120,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2121,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2121,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2123,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2123,Daily or almost daily,Friend,Physical,>4h,7.7,Yes,other,10,14,Uganda,2014
10-14y olds,2123,Daily or almost daily,Friend,Physical,>4h,7.7,Yes,other,10,14,Uganda,2014
10-14y olds,2202,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2202,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2213,Daily or almost daily,Household member,Physical,1h - <2h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2217,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2217,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2221,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2223,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2304,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2304,At least once a week,Household member,Nonphysical,15mins - <1h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2304,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2310,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2314,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2314,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2314,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2314,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2317,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2325,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2325,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2404,Daily or almost daily,Friend,Physical,2h - <4h,8.4,Yes,other,10,14,Uganda,2014
10-14y olds,2406,Less than once a month,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2410,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2410,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2420,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2421,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2424,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2506,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2510,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2510,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2510,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2510,Daily or almost daily,Friend,Nonphysical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2510,At least once a week,Other relative,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2510,At least once a week,Other relative,Nonphysical,<15mins,0,Yes,other,10,14,Uganda,2014
10-14y olds,2510,Daily or almost daily,Friend,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2513,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2513,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2520,Daily or almost daily,Other relative,Physical,1h - <2h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2521,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2521,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2523,Daily or almost daily,Other relative,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,2523,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2525,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2525,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,2525,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
